,Precio,Metros_Construidos,Habitaciones,Baños,Terraza,Garaje,Orientación_norte,Orientación_sur,Orientación_este,Orientación_oeste,Conserje,Ático,Año_construcción,Distancia_centro,Distancia_metro,Barrio
0,111000.0,75.0,2,1.0,1.0,0,0,0,1.0,0,0,0,1963.0,3.002886846730513,0.756517240677221,12.0
1,169000.0,128.0,4,2.0,0.0,0,0,0,0.0,0,0,0,1976.0,2.07377284123403,0.370679630086489,5.0
2,162000.0,86.0,2,1.0,0.0,0,0,0,0.0,0,0,0,2009.5,2.09964098588987,0.0385600959736371,5.0
3,199000.0,111.0,4,2.0,0.0,0,0,0,0.0,0,0,0,1995.0,2.12091711681891,0.524827094826048,5.0
4,73000.0,56.0,3,1.0,1.0,0,0,0,0.0,0,0,0,1960.0,3.002886846730513,1.12998547453936,21.0
5,45000.0,65.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1963.0,2.72305102770557,0.950908783446237,21.0
6,81000.0,80.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1965.0,2.96743683215649,0.936006379390484,21.0
7,85000.0,92.0,4,1.0,0.0,0,0,0,0.0,0,0,0,1978.0,2.74455461675727,1.08006952986501,21.0
8,71000.0,116.0,3,1.0,0.0,0,0,0,1.0,0,0,0,1965.0,2.27273692943328,0.942045500112891,21.0
9,65000.0,68.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1965.0,2.62976770071589,0.97149059007465,21.0
10,29000.0,59.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1960.0,3.002886846730513,1.01305326915228,21.0
11,49000.0,60.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1964.0,2.87541419499041,0.906394479504922,21.0
12,63000.0,68.0,3,1.0,1.0,0,0,0,0.0,0,0,0,1965.0,2.69404369480406,0.965162424281669,21.0
13,135000.0,98.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1973.0,2.72764036796351,0.810782464874904,21.0
14,47000.0,65.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1963.0,2.75619653639825,1.00228383772407,21.0
15,24000.0,45.0,2,1.0,0.0,0,0,0,0.0,0,0,0,1963.0,2.91252675933772,0.900754115483809,21.0
16,80000.0,90.0,3,1.0,1.0,0,0,0,0.0,0,0,0,1973.0,2.72524032144082,1.1310686805647845,62.0
17,136000.0,139.0,4,2.0,0.0,0,0,0,0.0,0,0,0,1976.0,3.002886846730513,1.1310686805647845,3.0
18,37000.0,53.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1965.0,2.8684745156657,1.1310686805647845,62.0
19,59000.0,65.0,4,1.0,0.0,0,0,0,0.0,0,0,0,1958.0,2.51729333895776,1.1310686805647845,62.0
20,80000.0,63.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1963.0,2.8155795073216,1.1310686805647845,62.0
21,60000.0,65.0,4,1.0,0.0,0,0,0,0.0,0,0,0,1958.0,2.62207324374421,1.1310686805647845,62.0
22,103000.0,92.0,3,2.0,0.0,0,0,0,0.0,0,0,0,2007.0,3.002886846730513,1.1310686805647845,62.0
23,110000.0,85.0,2,1.0,1.0,0,0,0,0.0,0,0,0,1961.0,2.3916352431176,1.1310686805647845,62.0
24,79000.0,91.0,2,1.0,0.0,0,0,0,1.0,0,0,0,1966.0,2.97751163888902,1.1310686805647845,62.0
25,202000.0,110.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1970.0,2.43265753996784,1.1310686805647845,62.0
26,168000.0,110.0,3,2.0,0.0,0,0,0,1.0,0,0,0,1973.0,2.4822414751758,1.1310686805647845,62.0
27,339000.0,160.0,4,2.0,1.0,0,0,0,0.0,0,0,0,2003.0,2.79381536344956,0.305305016940897,57.0
28,69000.0,83.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1967.0,2.80624349323059,0.848980487215268,57.0
29,532000.0,128.0,2,1.0,1.0,0,0,0,0.0,0,0,0,1944.0,2.46589561237149,0.585144919367231,57.0
30,117000.0,85.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1965.0,2.84694555152479,0.0807163818834191,57.0
31,90000.0,107.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1970.0,2.5540842575979,0.795803159450289,3.0
32,690000.0,167.0,4,2.0,1.0,0,0,0,0.0,0,0,0,2002.0,3.002886846730513,0.189365897568246,3.0
33,153000.0,90.0,2,1.0,0.0,0,0,0,0.0,0,0,0,1971.0,2.44758645282099,0.458154765945032,3.0
34,56000.0,78.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1968.0,2.86363136786513,0.320862474286561,3.0
35,53000.0,62.0,3,1.0,1.0,0,0,0,1.0,0,0,0,1970.0,2.81566814501814,0.433092701654808,3.0
36,48000.0,60.0,2,1.0,0.0,0,0,0,0.0,0,0,0,1964.0,2.75032469017217,0.435163915282177,3.0
37,136000.0,90.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1996.0,2.56765694931794,0.737058388187638,3.0
38,107000.0,69.0,2,2.0,0.0,0,0,0,0.0,0,0,0,2009.5,3.002886846730513,0.385828659193642,3.0
39,71000.0,94.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1970.0,3.002886846730513,0.637357147432703,3.0
40,314000.0,180.0,4,2.0,1.0,0,0,0,1.0,0,0,0,1995.0,2.46026778690219,0.347301219223177,3.0
41,296000.0,140.0,3,2.0,0.0,0,0,0,0.0,0,0,0,2008.0,3.002886846730513,0.365074923781336,3.0
42,155000.0,102.0,3,1.0,1.0,0,0,0,0.0,0,0,0,1975.0,2.39366559771281,0.26372709455837,59.0
43,317000.0,128.0,3,2.0,1.0,0,0,0,1.0,0,0,0,1993.0,2.40208571307168,0.256589250160893,59.0
44,74000.0,96.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1970.0,3.002886846730513,0.738586878700036,3.0
45,51000.0,71.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1989.0,3.002886846730513,0.866619397463516,12.0
46,48000.0,69.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1962.0,3.002886846730513,0.679311883233616,12.0
47,69000.0,69.0,3,2.0,0.0,0,0,0,1.0,0,0,0,1950.0,3.002886846730513,0.391466797463946,12.0
48,47000.0,64.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1965.0,3.002886846730513,0.753086278853286,12.0
49,67000.0,97.0,4,1.0,0.0,0,0,0,0.0,0,0,0,1967.0,3.002886846730513,0.331195569106434,12.0
50,51000.0,60.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1963.0,3.002886846730513,0.949335299691529,12.0
51,81000.0,103.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1970.0,3.002886846730513,0.578049988810878,12.0
52,152000.0,85.0,2,1.0,0.0,0,0,0,0.0,0,0,0,1969.0,3.002886846730513,1.1310686805647845,3.0
53,200000.0,120.0,3,2.0,0.0,0,0,0,0.0,0,0,0,2009.0,3.002886846730513,1.1310686805647845,3.0
54,166000.0,121.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1979.0,2.91225654649491,1.1310686805647845,3.0
55,169000.0,121.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1982.0,2.92003070005282,1.1310686805647845,3.0
56,192000.0,136.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1979.0,2.97720317623203,1.1310686805647845,3.0
57,201000.0,136.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1983.0,2.97098560868418,1.1310686805647845,3.0
58,178000.0,121.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1978.0,2.94570285951602,1.1310686805647845,3.0
59,298000.0,104.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1974.0,2.93971191725243,1.1310686805647845,3.0
60,195000.0,125.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1984.0,2.89467820289487,1.1310686805647845,3.0
61,143000.0,105.0,2,2.0,0.0,0,0,0,0.0,0,0,0,1980.0,2.93226171479862,1.1310686805647845,3.0
62,161000.0,70.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1972.0,2.74776621925628,1.1310686805647845,3.0
63,278000.0,108.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1983.0,2.967291929053,1.1310686805647845,3.0
64,188000.0,110.0,3,2.0,0.0,0,0,0,0.0,0,0,0,2005.0,3.002886846730513,1.08624311977478,3.0
65,150000.0,47.0,1,1.0,0.0,0,0,0,0.0,0,0,0,1974.0,2.96768597412868,1.1310686805647845,3.0
66,203000.0,136.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1993.0,2.96119573246799,1.1310686805647845,3.0
67,174000.0,121.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1977.0,2.99167562863067,1.1310686805647845,3.0
68,185000.0,117.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1981.0,2.88551514372026,1.1310686805647845,3.0
69,152000.0,68.0,2,2.0,0.0,0,0,0,0.0,0,0,0,1966.0,3.002886846730513,0.93389756850922,3.0
70,155000.0,68.0,2,2.0,0.0,0,0,0,0.0,0,0,0,2009.0,3.002886846730513,0.898151993085785,3.0
71,265000.0,70.0,1,1.0,0.0,0,0,0,0.0,0,0,0,1925.5,0.968921509005861,1.01231324828431,38.0
72,690000.0,197.0,3,3.5,1.0,0,0,0,0.0,0,0,0,1925.5,0.869504209304752,0.917815700191241,38.0
73,234000.0,100.0,2,1.0,1.0,0,0,0,0.0,0,0,0,1982.0,0.663499240342043,0.730247327327893,38.0
74,690000.0,140.0,3,2.0,1.0,0,0,0,1.0,0,0,0,1962.0,0.686407755175067,0.7869086785229,38.0
75,624000.0,189.0,3,2.0,0.0,0,0,0,1.0,0,0,0,1996.0,0.809966383706193,0.332856515665938,40.0
76,604000.0,190.0,5,2.0,0.0,0,0,0,1.0,0,0,0,1971.0,0.500932978073363,0.45264631100666,40.0
77,137000.0,63.0,1,1.0,0.0,0,0,0,0.0,0,0,0,1988.0,0.474729376372459,0.510196807539291,40.0
78,162000.0,39.0,1,1.0,0.0,0,0,0,1.0,0,0,0,1981.0,0.605757475196067,0.438197305642961,40.0
79,127000.0,40.0,1,1.0,0.0,0,0,0,0.0,0,0,0,1980.0,1.07711935010754,1.08992977541657,16.0
80,215000.0,80.0,2,1.0,0.0,0,0,0,1.0,0,0,0,1949.0,0.949996665522873,0.754007111567173,16.0
81,158000.0,60.0,1,1.0,0.0,0,0,0,0.0,0,0,0,1965.0,0.941503553726623,0.640850430901824,16.0
82,225000.0,127.0,2,2.0,0.0,0,0,0,0.0,0,0,0,1959.0,0.564913882045833,0.494563530395705,19.0
83,78000.0,26.0,2,1.0,0.0,0,0,0,0.0,0,0,0,1930.0,0.829073923514135,0.628561613480749,19.0
84,40000.0,60.0,2,1.0,0.0,0,0,0,0.0,0,0,0,1963.0,0.716429764662708,0.525735603072435,19.0
85,501000.0,133.0,5,1.0,0.0,0,0,0,0.0,0,0,0,1930.0,0.277650961058544,0.529121760021381,55.0
86,320000.0,90.0,1,1.0,0.0,0,0,0,0.0,0,0,0,1983.0,0.383825526023439,0.609818747474362,18.0
87,235000.0,80.0,2,1.0,0.0,0,0,0,1.0,0,0,0,1971.0,0.35549539002097,0.577481035989647,18.0
88,113000.0,50.0,1,1.0,0.0,0,0,0,0.0,0,0,0,1925.5,0.502901650043821,0.735735172008663,18.0
89,159000.0,55.0,2,1.0,0.0,0,0,0,0.0,0,0,0,1925.5,0.376602729361844,0.580148876201183,18.0
90,690000.0,200.0,5,2.0,1.0,0,0,0,0.0,0,0,0,1967.0,0.475808968081999,0.0791835538163275,55.0
91,394000.0,230.0,5,3.0,0.0,0,0,0,1.0,0,0,0,1966.0,0.222892907083676,0.323682411349886,55.0
92,352000.0,156.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1965.0,0.240857250239581,0.23334325224072,55.0
93,308000.0,80.0,3,1.0,1.0,0,0,0,0.0,0,0,0,1961.0,0.197752573908878,0.270428394905985,55.0
94,584000.0,183.0,3,3.0,0.0,0,0,0,0.0,0,0,0,1967.0,0.284596750539881,0.318931632142181,55.0
95,529000.0,180.0,5,3.0,1.0,0,0,0,0.0,0,0,0,1949.0,0.13016348332323,0.146259986374473,55.0
96,353000.0,150.0,4,2.0,0.0,0,0,0,0.0,0,0,0,1992.0,0.0872217244390091,0.312016850897653,55.0
97,597000.0,195.0,4,3.0,1.0,0,0,0,1.0,0,0,0,1967.0,0.235165898812348,0.358110823921534,55.0
98,654000.0,200.0,3,3.0,1.0,0,0,0,0.0,0,0,0,1970.0,0.214397652583883,0.133649442361735,55.0
99,238000.0,87.0,4,1.0,0.0,0,0,0,0.0,0,0,0,1931.0,1.1257564535139,0.564995152846254,52.0
100,242000.0,73.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1980.0,1.19521888221743,0.523915416360248,52.0
101,209000.0,150.0,4,2.0,0.0,0,0,0,0.0,0,0,0,1993.0,1.12478307520097,0.5649483552119,52.0
102,243000.0,130.0,4,2.0,0.0,0,0,0,0.0,0,0,0,1971.0,0.660050427499598,0.414648769203665,52.0
103,211000.0,110.0,4,2.0,0.0,0,0,0,0.0,0,0,0,1963.0,0.37149251339152,0.166901792715161,52.0
104,244000.0,98.0,4,1.0,0.0,0,0,0,0.0,0,0,0,1925.5,0.940634835508163,0.0708903665269816,52.0
105,225000.0,115.0,4,1.0,1.0,0,0,0,1.0,0,0,0,1972.0,0.746182440649515,0.331957033409945,52.0
106,690000.0,245.0,6,0.0,1.0,0,0,0,0.0,0,0,0,1965.0,0.305182163761121,0.17680955087357,55.0
107,467000.0,113.0,2,2.0,1.0,0,0,0,0.0,0,0,0,1966.0,1.14954657786125,0.292780959234061,52.0
108,324000.0,140.0,6,2.0,0.0,0,0,0,0.0,0,0,0,1959.0,1.35448182040724,0.397932625294606,52.0
109,471000.0,185.0,5,2.0,0.0,0,0,0,1.0,0,0,0,1960.0,0.412447254577665,0.239829306985457,52.0
110,291000.0,126.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1954.0,1.31563658615255,0.306068755020394,52.0
111,224000.0,65.0,2,1.0,0.0,0,0,0,0.0,0,0,0,1977.0,1.02686463804879,0.372233145553852,52.0
112,187000.0,112.0,3,2.0,1.0,0,0,0,0.0,0,0,0,1978.0,1.18772962661397,0.291176804817109,52.0
113,389000.0,108.0,2,2.0,1.0,0,0,0,0.0,0,0,0,1925.5,1.02077752462726,0.489597073229111,52.0
114,690000.0,243.0,5,2.0,0.0,0,0,0,0.0,0,0,0,1959.0,0.47088404193296,0.111023005444671,20.0
115,201000.0,94.0,1,1.0,0.0,0,0,0,1.0,0,0,0,1952.0,0.922232983025223,0.196541807025931,20.0
116,690000.0,248.5,4,3.0,0.0,0,0,0,0.0,0,0,0,2009.5,0.781205343319919,0.20570830971474,40.0
117,690000.0,235.0,3,3.0,0.0,0,0,0,0.0,0,0,0,2009.5,0.800475986984386,0.200159131313823,20.0
118,690000.0,150.0,3,2.0,1.0,0,0,0,0.0,0,0,0,2005.0,0.69581383169275,0.197009254227426,20.0
119,548000.0,175.0,4,2.0,1.0,0,0,0,0.0,0,0,0,1961.0,0.440263154770986,0.194592499012513,20.0
120,640000.0,196.0,6,3.0,0.0,0,0,0,1.0,0,0,0,1966.0,0.817401699644705,0.255474282241959,20.0
121,690000.0,248.5,4,3.5,0.0,0,0,0,0.0,0,0,0,1950.0,0.473985989142994,0.163000554137642,20.0
122,663000.0,178.0,4,2.0,1.0,0,0,0,0.0,0,0,0,1963.0,0.591909217674821,0.373530808643986,31.0
123,690000.0,248.5,4,3.0,0.0,0,0,0,0.0,0,0,0,1978.0,0.882878754214221,0.101407567375451,40.0
124,569000.0,210.0,5,2.0,0.0,0,0,0,0.0,0,0,0,1959.0,1.35277811999534,0.649089699852666,31.0
125,323000.0,115.0,4,1.0,0.0,0,0,0,1.0,0,0,0,1976.0,1.11791713421158,0.372912833176098,31.0
126,399000.0,137.0,5,2.0,0.0,0,0,0,0.0,0,0,0,1932.0,1.14589234686775,0.583007095848898,31.0
127,346000.0,105.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1977.0,1.04144917148262,0.398496016645609,31.0
128,237000.0,100.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1993.0,0.636814657216276,0.11169557092204,14.0
129,78000.0,45.0,1,1.0,0.0,0,0,0,0.0,0,0,0,1925.5,1.08480738572017,0.431339174931881,14.0
130,141000.0,95.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1925.5,0.390119556771368,0.17769036855697,37.0
131,284000.0,128.0,5,3.0,0.0,0,0,0,1.0,0,0,0,1984.0,0.575389269627531,0.141662182049388,37.0
132,126000.0,61.0,1,1.0,0.0,0,0,0,0.0,0,0,0,2009.5,0.487315183608174,0.157599571970035,37.0
133,646000.0,178.0,4,2.0,1.0,0,0,0,0.0,0,0,0,1974.0,1.17793864342994,0.488573031486569,34.0
134,165000.0,90.0,3,1.0,0.0,0,0,0,1.0,0,0,0,1950.0,1.44800536115696,0.384114178540381,34.0
135,241000.0,90.0,2,2.0,1.0,0,0,0,0.0,0,0,0,2006.0,1.43709646165491,0.341914120286077,34.0
136,228000.0,108.0,2,2.0,0.0,0,0,0,0.0,0,0,0,1978.0,1.29269625306863,0.570800868803271,34.0
137,354000.0,122.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1992.0,0.978448024925523,0.243724961108423,34.0
138,421000.0,167.0,4,2.0,1.0,0,0,0,0.0,0,0,0,1952.0,0.622166827903408,0.146434105724712,2.0
139,279000.0,113.0,4,2.0,0.0,0,0,0,0.0,0,0,0,1996.0,0.934836883455741,0.371709110838233,2.0
140,500000.0,200.0,4,2.0,0.0,0,0,0,0.0,0,0,0,1950.0,0.720243063495965,0.148494020310968,2.0
141,270000.0,148.0,5,2.0,0.0,0,0,0,0.0,0,0,0,1949.0,0.9986078563632,0.145912424373018,2.0
142,133000.0,60.0,1,1.0,0.0,0,0,0,0.0,0,0,0,1969.0,1.19286764824364,0.562048259881159,49.0
143,220000.0,127.0,4,2.0,0.0,0,0,0,1.0,0,0,0,1980.0,1.14029884037716,0.507273778347848,2.0
144,245000.0,129.0,3,2.0,1.0,0,0,0,0.0,0,0,0,1977.0,0.712663544284444,0.14703351421236,2.0
145,182000.0,100.0,3,2.0,0.0,0,0,0,1.0,0,0,0,1962.0,1.18879809033714,0.491109392590642,2.0
146,142000.0,107.0,2,2.0,0.0,0,0,0,0.0,0,0,0,1984.0,1.8416349083486,0.411211294000303,34.0
147,152000.0,92.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1970.0,2.55019779167704,0.456616762632506,10.0
148,180000.0,120.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1978.0,1.79328744129534,0.794177402387827,41.0
149,70000.0,57.0,2,1.0,0.0,0,0,0,0.0,0,0,0,1966.0,2.30892333678542,0.646486868163006,15.0
150,325000.0,120.0,3,2.0,1.0,0,0,0,0.0,0,0,0,1977.0,3.002886846730513,0.34523619123875,59.0
151,298000.0,136.0,4,2.0,0.0,0,0,0,0.0,0,0,0,1970.0,3.002886846730513,0.719281606357535,59.0
152,285000.0,130.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1984.0,3.002886846730513,0.708054093713352,59.0
153,247000.0,90.0,2,1.0,1.0,0,0,0,1.0,0,0,0,1966.0,3.002886846730513,0.176712251812562,59.0
154,546000.0,159.0,3,2.0,1.0,0,0,0,1.0,0,0,0,2003.0,3.002886846730513,0.0695847018526909,59.0
155,204000.0,133.0,3,2.0,1.0,0,0,0,1.0,0,0,0,1979.0,2.64806329217715,0.680826528966748,10.0
156,138000.0,57.0,1,1.0,0.0,0,0,0,1.0,0,0,0,2008.0,2.89802703692019,0.626512522439336,59.0
157,334000.0,130.0,3,2.0,1.0,0,0,0,1.0,0,0,0,2002.0,3.002886846730513,0.624442111955199,59.0
158,213000.0,98.0,2,2.0,1.0,0,0,0,0.0,0,0,0,1968.0,2.39180013404663,0.649521385467263,59.0
159,228000.0,109.0,3,2.0,0.0,0,0,0,1.0,0,0,0,1975.0,2.46455619047189,0.91526895964531,59.0
160,250000.0,84.0,2,2.0,1.0,0,0,0,1.0,0,0,0,2007.0,2.62654249764366,0.685225615372561,10.0
161,137000.0,150.0,3,2.0,1.0,0,0,0,0.0,0,0,0,1983.0,1.76532091611992,0.851703824345644,43.0
162,149000.0,95.0,3,1.0,1.0,0,0,0,1.0,0,0,0,1966.0,1.68352397058114,1.09592555661439,43.0
163,69000.0,65.0,1,1.0,0.0,0,0,0,1.0,0,0,0,1966.0,2.26586532380131,0.799647405154976,43.0
164,146000.0,135.0,3,2.0,0.0,0,0,0,1.0,0,0,0,1970.0,1.61934000592927,0.985708254988376,43.0
165,111000.0,74.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1962.0,2.27443632409636,0.82084614907678,43.0
166,128000.0,85.0,5,1.0,0.0,0,0,0,1.0,0,0,0,1935.0,1.45741626456426,1.1310686805647845,46.0
167,138000.0,90.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1975.0,1.76363643759129,0.926468233380688,46.0
168,311000.0,126.0,3,2.0,1.0,0,0,0,0.0,0,0,0,1983.0,1.41912545703686,0.958639754404018,46.0
169,153000.0,91.0,3,1.0,0.0,0,0,0,1.0,0,0,0,1978.0,1.40390635413319,0.779270567876481,64.0
170,167000.0,96.0,2,1.0,0.0,0,0,0,0.0,0,0,0,1970.0,1.39503709503373,0.795393220184273,64.0
171,297000.0,137.0,3,2.0,1.0,0,0,0,0.0,0,0,0,1984.0,1.7184410461635,0.597778116061658,64.0
172,74000.0,74.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1967.0,2.34776300650017,1.06461101763841,3.0
173,81000.0,69.0,0,1.0,0.0,0,0,0,0.0,0,0,0,1963.0,2.29547865182667,1.1310686805647845,62.0
174,59000.0,82.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1960.0,2.13176090188489,1.1310686805647845,61.0
175,85000.0,85.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1969.0,2.3132694025871,1.1310686805647845,61.0
176,123000.0,111.0,2,2.0,0.0,0,0,0,0.0,0,0,0,1972.0,2.08463451123475,1.1310686805647845,61.0
177,114000.0,103.0,4,1.0,0.0,0,0,0,1.0,0,0,0,1972.0,2.00279868826837,1.1310686805647845,61.0
178,128000.0,100.0,2,2.0,0.0,0,0,0,0.0,0,0,0,1975.0,1.96329496948464,1.1310686805647845,43.0
179,87000.0,85.0,3,1.0,0.0,0,0,0,1.0,0,0,0,1964.0,1.95654102760752,1.1310686805647845,61.0
180,98000.0,74.0,2,2.0,0.0,0,0,0,0.0,0,0,0,1966.0,2.33212434972203,1.1310686805647845,54.0
181,176000.0,120.0,4,2.0,0.0,0,0,0,0.0,0,0,0,1975.0,1.96105318923818,0.907106667230409,54.0
